__label__1 , 货已 收到 质量 不错 京东 服务
__label__1 , 颜色 不合 服务 更差 骗人
__label__1 , 机箱 杠杠 开机 速度 开机 声音 影响 休息
__label__1 , 外地 家里 先请 评了 过段时间 追评
__label__1 , 东西 超级 好用 谢谢 推荐
__label__2 , 不好 外观 鞋垫 感觉 穿过 差评
__label__2 , 关注 好久 价格低 一点 借钱 购买 真应 那句话 ldquo 便宜 没好 好货 便宜 rdquo 星期 不到 手机 充电 不进 故障 hellip hellip 失望透顶 hellip hellip
__label__2 , 差评 这品 边缘 翘起 导致 下方 接口 异位 插个 数据线 星给 快递
__label__2 , 建议 购买 特别 换货
__label__2 , 包装 拆封 客服 正品 看吧 外包装 拆封 痕迹 判断 退货
__label__1 , 上身 效果 有型 颜色 物流 很快 机会 光顾 整体 好评
__label__2 , 第九天 麦克风 退货 66666 质量 后悔
__label__1 , 合脚 棒棒
__label__1 , 鞋子 不错 差价 退货 销售 灵活 企业 制度 僵化 不带 标签 鞋子 穿过 算了
__label__1 , 手机 流畅 推荐 朋友 第二台
__label__1 , 散热 不太给力 性能 强劲
__label__1 , 面料 舒适 下水 掉色 尺码 标准 适合 夏天 值得 购买
__label__1 , 母亲 喜欢 整体 不错 农村 快递 神速 头天 第二天
__label__1 , 鞋子 儿子 超级 喜欢 下次
__label__1 , 材质 丝滑 柔顺 款式 大方 得体 居家 舒适 喜欢 大赞
__label__1 , 姥爷 摔坏 手机 非常适合 老人 姥爷
__label__2 , 摄像头 四个 摆设 拍照 时用 手去 遮挡 工作 手机 装配 用手 轻敲 手机 顶部 异响
__label__2 , 第一台 手机 自动关机 开心 神经 换货 浪费 好多 天才 送来 鉴定 无语 保价 降价 保价 服务 一点 诚信 可言 差评
__label__1 , 不错 舒适 大小 合适
__label__2 , 收到 降价 商家 主动
__label__1 , 活动 购买 键盘 不错 适合 办公 玩游戏 价格 总体 接受
__label__2 , 配件 鼠标
__label__1 , 大小 合适 舒服
__label__1 , 很棒 很棒 酷派 老客户 更好
__label__1 , 物流 很快 电脑 运行 流畅 学习 玩游戏 不错 选择
__label__1 , 收到 喜欢 正品 验证 京东 几天 颜色 喜欢
__label__2 , 手机 收到 打开 一看 手机 包装 屏幕 划痕 手机 相册 手机 拍摄 照片 一看 翻新 开让 生气 京东 失望
__label__1 , 正品
__label__1 , 没见 一张 发票 这么久 京东 差评 这家 真是太 差劲
__label__2 , 物流 产品
__label__1 , 物流 很快 鞋子 质量 杠杠 舒服
__label__1 , 价格 实惠 喜欢
__label__1 , 不错 满意
__label__1 , 五分 好评 客服 态度 见过 气质 发货 很快
__label__1 , 包裹 拿到 拆开 手机 满意 唯一 缺点 不送 钢化 害得 京东
__label__2 , 侧板 开裂
__label__1 , 送给 儿子 喜欢 性能 不错
__label__1 , 鞋子 喜欢 大小 合适 物流 超快 下次 还来
__label__1 , 手机 很漂亮 大屏幕 性能 打游戏 不卡 愉快 购物
__label__1 , 老婆 还行 坚果 pro
__label__1 , 好几 一如既往 包装 磕碰 老板 态度 耐性
__label__2 , 说实话 不好 激活 资金 建议 苹果 真实 感受
__label__2 , 购物 体验 后悔 手机 到手 后盖裂 前屏 进液 网上 一查 现象 深受其害 机友 官方 态度强硬 自费 维修 京东 手机 超过 自费 维修 责任 消费者 无奈 12315 投诉 静候 处理结果 众多 机友 等待 解决方案
__label__1 , 宝贝 漂亮 喜欢 颜色 好看 大爱 还会来 真的 喜欢
__label__2 , 垃圾 手机 再用 小米
__label__1 , 鞋子 面料 做工 不错 鞋型 很漂亮 喜欢
__label__1 , 睡衣 收到 尺码 合适 卖家 推荐 不错 关键 质量 夏天 大赞
__label__2 , 这家 显示 送壳 钢化 耳机 选择 这家 收到 货后 客服 好评 确认 说话 客服 态度 好差 好评 评价 全是
__label__1 , 裤子 金属 质量 太差 锈渍 一点 光泽 失望
__label__2 , 东西 买回来 赠品 手机 愉快 购物
__label__1 , 收到 赶紧 试穿 很棒 不错
__label__1 , 开机 挺快 win10 系统 特别 习惯 慢慢 总体 不错
__label__1 , 鞋子 舒服 老公 就认 他家 鞋子 透气性 不闷 关键 舒服 还会 支持
__label__2 , 垃圾 京东 降价 不到 半个 600
__label__1 , 看个 直播 黑屏
__label__2 , 轻飘飘 山寨 地摊货 感觉 想象
__label__1 , 亲戚 满意 幸亏 8G 内存
__label__1 , 性价比 东西 不错 送货
__label__1 , 鞋己 收到 连续 几天 下雨 没先 天气 好转 感轻 轻便 软合
__label__2 , 错码 商家
__label__1 , 第一次 网上 电脑 担心 电脑 下载 游戏 玩得 电脑
__label__1 , 电脑 拿到 速度 超快 美观
__label__1 , 鞋子 质量 材质 不错 舒服 物美价廉 性价比 喜欢 满意
__label__2 , 玩意 多久 游戏卡 一批 退货 质量 才行 游戏卡 质量 说白了 不让 退货 第一次 京东 买手机 垃圾 京东 东西
__label__1 , 鞋子 不错 快递 速度 比较满意
__label__1 , 电脑 很棒 静音 无噪音 速度 很快 分区 折腾 半天 win10 系统 慢慢 习惯
__label__1 , 喜欢 第二次 推荐 朋友
__label__2 , 质量
__label__1 , 品牌 价格 实惠 质量 稳定
__label__2 , 安装 微信 司机 ....... 退货
__label__1 , 价钱 合适 配置 外观 好看 好用 朋友 一台 谢谢
__label__1 , 货真价实 童叟无欺 第二次
__label__1 , 穿着 合身
__label__2 , 贴膜 好像 型号 镜面 贴出来 两条 空隙 失败
__label__1 , 鞋子
__label__2 , 手机 不好 按键 灵活 还好
__label__1 , 老人 轻便 喜欢
__label__2 , 真货 异常 翻新 新机 时间 差价 客服 客服 过期 放屁 机子 异常 充电 微信发 语音 声音 京东 消费 不下于 东西 语言 游戏 赚钱 眼里 第一次 单反 有人 门面 货有 差别 无所谓 手机 充电 发微信 声音 无所谓 差价 5588 5488 告诉 差价 差价 协议 过期 文字 语言 游戏 块钱 送给 京东 棺材
__label__2 , 服务器 BUG
__label__2 , 自动关机 晓得 怎么回事
__label__1 , 裤子 不错
__label__1 , 收到 迫不及待
__label__1 , 整体 不错
__label__2 , 
__label__1 , 不错 老妈
__label__2 , 耳机 说好 礼品
__label__1 , 宝贝 收到 试穿 评价 鞋底 柔软 舒服 质量 物流 发货 速度 很快 满意 购物
__label__1 , 去年 旗舰 相机 像素 真心 不错 支持 小米 支持 国货
__label__2 , 正品 鞋子 好差 商家 退货 鞋子 折子 打开 购买 慎重考虑
__label__1 , 裤子 合适 拉链 生锈 郁闷 退货 hellip hellip 花钱 拉链 hellip hellip 无奈
__label__2 , 退货 放着 不动 打着 游戏
__label__2 , 手机 评价 物流 很快 裸机 连张 钢化 客服 咬字眼 限时 活动 花钱 东西 转转 这家
__label__2 , 拍照 太差 mate8 会议室 拍照 变形 明白 拍照 上天
__label__2 , 声音 大小 外婆 手机 听得
__label__1 , 做工 不错 穿着 舒服 价格 很值
__label__1 , 父母 大屏幕 适合 两台 下单 每台 959 便宜
__label__2 , 电池 后盖 盖上 只能 胶布 缠上 没用 待用 评价
__label__1 , 不错
__label__1 , 鞋子 收到 特别 喜欢 牌子 鞋子 鞋子 正品 喜欢
__label__2 , 买来 一周 重启
__label__1 , 一段时间 不错 配置 够用
__label__2 , 垃圾 电脑 还慢
__label__1 , 面料 不错 不缩水 掉色 衣服 穿着 舒服 价格 不算 发货 速度 满意 购物
__label__2 , 发热 电池 真的 不行 掉电 好快 3000
__label__1 , 手机 不错 美中不足 摄像头 凸出来 包装 大气 整体 不错 支持 国货
__label__2 , 购买 三天 死机 声卡 毛病 等待 客服 售后 解决
__label__2 , 玩游戏 触屏 不行 屏幕 键位 有时候 慎重 客服 半天 没个 回答 为啥 手机 手机 我手 不配 手机
__label__2 , 手机 断触 屏幕 失灵 特别 游戏 刚买 还好 版本 越来越 不行 建议 这款 手机
__label__1 , 买过 底子 穿不长 一段时间 鞋边 皱纹 舒服 透气性
__label__2 , 优惠券 太坑 卡槽 差评 hellip hellip
__label__2 , 差评 半小时 屏幕 越来越 模糊
__label__2 , 买回来 硬盘 时间
__label__1 , 不错 5K 不错 色彩艳丽 明亮
__label__1 , 姐妹 下手
__label__1 , 身上 挺舒服 变形 满意 建议 购买
__label__2 , 充电器 漏电
__label__2 , 耳机 失望
__label__2 , 苹果 两年 还值 1500 美酒 4100 天值 2700
__label__2 , 通讯录 联系人 麻烦
__label__2 , 信息 比较慢 信号 不太好 退货
__label__1 , 不错 机子 值得
__label__1 , 小米 店里 舒服 人送 女朋友 不错
__label__1 , 不错 快递 服务
__label__1 , 宝贝 大小 合适 舒服 感觉 纯棉 质量 很棒 穿着 舒适
__label__2 , 风扇 异响 刚刚 买来 几个 小时 屏幕 卡死 现象
__label__1 , 几次 质量 不错
__label__2 , 两天 降价 没返 差价 差评
__label__1 , 喜欢 牌子
__label__2 , 昨天 拿到 打电话 声音 这是 一次性 手机 电池 天津 力神 电池 公司 手机 深圳 赫名迪 科技 外壳 NOKIA 标志 地方 原厂 开机 声音 一半
__label__1 , 这么久 评论 感觉 运行 內存 没什么
__label__2 , 特地 一段时间 评价 买过 差得 手机 一个月 死机 昨天 没法用 强制 一星 一颗 千万别 太坑
__label__1 , 衣服 舒服 修身
__label__1 , 实体店 便宜 质量 实体店 一模一样 送到
__label__1 , 开心
__label__2 , 一断 时间 中看 不中用 感觉 花瓶 打电话 好用 有个 毛线
__label__2 , 一个月 华为 p20 说句实话 真心 差劲 第一 手机 耗电量 手机 运行 内存 6G 玩个 王者 荣耀 卡成 第三 原装 耳机 不到 一个月 调节 音量 时而 调大 时而 重点 说话 第四 手机 打字 延迟 优点 像素 真心 不错 分辨率 真心 建议 这款 手机 优点 不可否认 缺点 一大堆 图片 插入 原装 耳机 选项 照片 性能 体验 所得
__label__2 , 刚买 新机 想着 国外 拍照 能排 用场 失望 死机 好几回 宣传 像素 几千万 我刚 淘汰 iPhone6
__label__1 , 大小 正好 不错
__label__1 , 简约 修身 上身 效果 满意 值得 推荐
__label__1 , 央视 吸引 眼球 7P 倩细 轻薄 手感 色彩 绚丽 屏显 效果 极佳 做工 精细 美观 品牌 质量 京东 送货 神速 服务 值得 信赖
__label__1 , 笔记本 图片 顺手
__label__2 , 质量 不行 通话 不到 声音
__label__1 , 夏天
__label__1 , 货真价实 值得 购买 喜欢
__label__1 , 不错 质量 物流 服务态度
__label__1 , 物流 速度 很快 鞋子 尺码 合适 标准 值得 拥有
__label__1 , 顺丰 快递 好快 预计 早到 电脑 淡淡的 金色 键盘 带光 小巧 外观 喜欢 安装 时侯 智能 引导 运行 流畅 电脑 发票 放心 好评
__label__1 , 速度 不错 价格低
__label__2 , 垃圾 屏幕 冻裂 一周 时间 手机 摔过 垃圾 售后 特别
__label__1 , 快递 速度 京东 物流 确实
__label__2 , 手机 拿到 不到 半个 通话 声音 清晰 每隔 一段时间 重启 对面 听不见 功能 花哨 手机 质量 不行 不行 希望 想要 入手 慎重
__label__1 , 鞋子 老公 满意 京东 特价 老公 上班 干活
__label__1 , 裤子 刚刚 合适 太阳 底下 优点 感觉 整体 不错
__label__2 , 刚买 两周 荣耀 大拇指 设置 指纹 解锁 昨天 无意间 发现 手掌 解开 用手掌 解开 录入 指纹 解开
__label__1 , 收到 合适 布料 一点 凉快
__label__2 , 快递 速度 手机 用电量 消耗 厉害 电池 本来 满星 电池 掉电 真的 太快 几天 来评 不行 伤心
__label__1 , 鞋子 质量 不错 舒服 透气 店家 服务态度 热情 满意
__label__2 , 最坑 购物 电脑主板 电脑 支持 win7 系统 店家 服务态度 退货 信息 建议 这台 电脑 后悔
__label__1 , 散热 玩游戏 不卡
__label__1 , 只能 风扇 嗷嗷叫
__label__2 , 前天 降价
__label__2 , 网购 第一个 差评 送给 白条 活动 太坑 手动 勾选 免息 就入
__label__2 , 手机 OK 服务 快递 速度 人生 从来不 一帆风顺 充满 惊喜 考验 快递 员长 特傲 不让 差评
__label__2 , IOS 系统 一点 但用 WIN10 系统 特别 杀毒 装个 驱动 检测 CPU 温度 视频 温度 特别
__label__2 , 外壳 漏电 打字 电到
__label__2 , 糟糕 购物 体验 下单 送个 充电 没寄来 客服 客服 送来 天无 理由 退款 下单 收到 货挺 开心 忽悠 华为 旗舰店
__label__1 , 真心 不错 价格 亲民
__label__1 , 熟客 东西 一如既往 货真价实 性价比
__label__2 , 钢化 二台 手机 米粉 一点 没用
__label__2 , 一个多月 真的 相机 小爱 同学 自动 启动 解决 小米
__label__2 , 京东 商城 东西 愉快 第一次 发货 包装 破损 物品 磕碰 换货 第二次 回来 箱子 磕碰 不说 开箱 部位 手印 怀疑 返厂 维修 退货 换货 退货 不知 操作 打电话 咨询 客服 拍照 态度 不好 好不容易 退货 客服 电话 气不过 干嘛 折腾 天无 理由 退货 天无 理由 退换货 支持 一手 麻烦 换回来 外包装 返厂 维修 客服 变脸 机器 包装 盒子 手印 返厂 这得 专业 工程师 设备 检测 我测 真想 检测 设备 干嘛 来回 折腾 几次 东西 包装 包装 保证 完好 实验 产品检验 质量 消费者 只能 直观 判断 麻烦 客服 大娘 理解 消费者 更年期 态度 投诉 长时间 评论 是因为 工作 太忙 没顾 蛮横 态度 退却
__label__1 , 鞋子 质量 不错 几天 舒适 物美价廉
__label__1 , 太好了
__label__1 , 电脑 颜值 散热 不错 做工 扎实
__label__2 , 收到 刮痕 不让 退换货 推脱 刮痕 肯定 人为 快递 监控
__label__2 , 不好 电话 联系人 保存 不到 SIM 手机卡 只能 保存 手机 手机 联系人
__label__2 , 差评 介绍 配置 售后服务 态度 卖前 上帝 卖后
__label__1 , 鞋子 穿着 舒服 透气性
__label__1 , 外观 好看 价格合理 熟悉 京东 东西 可靠
__label__2 , 不好 八天
__label__1 , 鞋子 拿到 轻巧 男朋友 试穿 弹性 舒服 防滑 一点
__label__2 , 手机 售后 外观 保修 垃圾 玩意
__label__1 , 5500 产品 物超所值 速度 机箱 小巧 唯一 美中不足 机箱 散热
__label__2 , 鼠标 声音 大声 不好
__label__2 , 物流 京东 亦庄 总部 旁边 这京准 不行 就别 这项 服务 朋友 时间 推掉 不行 不行 从没 不准 时过
__label__1 , 儿子 帅气 mdash
__label__1 , 不错 手机 性价比 屏幕
__label__1 , 样子 好看 支撑 不错 右脚 鞋头 支撑 翻出来 脚趾头 满意 不算 鞋垫 一分钱 一分货 价钱 耐克 不错
__label__2 , 官网 优惠 优惠 朋友 前一天 优惠 优惠 差评
__label__1 , 物美价廉 外观 好看 物流 客服
__label__1 , 咯咯
__label__1 , 质量 卖家 描述 完全一致 满意
__label__2 , 降价
__label__1 , 
__label__2 , 手机 卡顿 手机信号 打电话 同事 6SP 满意 差评 差评 差评 建议 这款 型号
__label__2 , 不到 十天 东西
__label__2 , 享值 一出 自营 已死 享值 一出 自营 已死
__label__1 , 京东 配送 速度 三天 之内 到货 i5 8g 内存 1T 硬盘 容量 配置 OK 外形 好看 开机 速度 很快 过程 发现 挺好用
__label__1 , 商品 描述 速度 比较慢 办公
__label__1 , 服务 质量 过关 商家 生意兴隆
__label__1 , 苹果 8plus 手机 造型 好像 差别 感觉 系统 做得好 苹果 8plus 手机 像素 旅游 再也 不用 相机
__label__1 , 不错 一款 衣服 上身 效果 特别 喜欢
__label__2 , 差评 贵厂 用户 体验 标配 鼠标 电脑包 随机 附带 最低 原厂 鼠标 就行 五千块 原厂 鼠标 电脑包 不能自己 哪家 电脑 不带 鼠标 电脑包 几个 舍得 客户服务 投资 心情 极差 不想 好评 机子 热情 大半
__label__1 , 手机 不错 手机 送错
__label__2 , 快递 盒子 不敢恭维 手机 情况 翻新 机官 版本 快递 真的 纸盒子 手机 泡沫 真的 服务 奉劝 一句 贪便宜 打算 一段时间 质量 不行 投诉无门 客服 没用 mac 客服 iphone 客服 转接 不行 告诉 退出 这是 忽悠 时间 网上 下单 奉劝 吃亏 实体店
__label__1 , 到货
__label__2 , 4G 网卡 一批 联通 电话 网络 手机 国产手机 欺骗 消费者 再也不会 vivo 后悔 玩意 一星 不想
__label__2 , 鞋子 质量 不好 开胶
__label__1 , 一比
__label__1 , 裤子 质量 价格 亲民 值得 入手 希望 店家 搞些 优惠活动
__label__2 , 咋样 那么回事 凑合着 先用 显卡 动手 包装 螺丝 散落 只能
__label__1 , 旗舰机 挑剔 拍照 真心 粉色 喜欢
__label__2 , 凑合
__label__2 , 满意
__label__2 , 到货 感觉 价钱 手机 佩戴 耳机线 单独 手机 几天 手机 卡住 不动 只能 一小 点得动 手机 比较烦 视频 裁剪 视频 裁剪 客服 手机 功能 凑合着
__label__1 , 性能 散热 运行 速度 开机 快速 特地 一段时间 评价 确是 物有所值
__label__1 , 东西 东西 鞋舌 太厚 不太 适合 夏天 出库 速度 有待 提高
__label__1 , 延迟 收到 失望 老妈 老妈 喜欢 机子 大爱 好评
__label__2 , 垃圾
__label__2 , 第一次 魅蓝 差评 真心 垃圾 599 红米
__label__2 , 贵多
__label__1 , 快捷 好用 信赖 京东 大小 穿着 舒服
__label__2 , 玩意 手机 充不上 客服 没人 几天 百分之 几天 tm3 充不上 屏幕 失灵 信号 满格 王者 荣耀 460 第一次 手机 第一次 体验 差劲
__label__2 , 垃圾 耳机 没配 音质 特差 多人 客服 京东 购物 失望 说真的 价格 oppo vivo 华为 手机 芯片 研发 国产 支持 国产 没想到 hellip hellip
__label__2 , 垃圾 我刚 降价
__label__1 , 第二次 购买 质量 声音 适合 老年人
__label__2 , 收到 手机 包装盒 拆过 资料 专卖店 证明 人动 怀疑 是否是 正品 原因 没能 售后 验货 申请 京东 售后 售后 几个 电话 忽悠 解决 态度 信赖 京东
__label__1 , 鞋子 收到 迫不及待 试穿 好看 走路 轻松 一点 累脚 朋友 入手
__label__1 , 鞋子 正品
__label__1 , 昨天 今天上午 外观 手感 很漂亮 比战 要好看 比小新 漂亮 性价比 京东 快递 一段时间 再来 追评 一号 前一天 下单 1900 下单 6583 很棒
__label__1 , 机器 性能 很拉风 性价比 希望 耐用 售后服务 保障 满意
__label__2 , 插卡 显示 服务
__label__2 , 小米 手机 自信 保值 前期 拼命 抢购 几个 拼命 降价 拿在手上 感觉 廉价 尊严 手机 只能 再见 小米
__label__2 , 速度 同款
__label__1 , 电脑 满意 卖家 机械 键盘 鼠标 贴心 活动 一套 漫步者 音箱 音箱 到货 评论
__label__2 , 手机 有毒 第三天 声音 声音 声音 有毒 有毒 售后 还少
__label__1 , 外甥女 大学 玫瑰 非常适合 女生 漂亮 固态 硬盘 开机 速度 外甥女 感觉 不可思议 键盘 带背光 实用 屏幕 清晰 打开 速度 理想 物超所值 开心 购物
__label__1 , 性感 下次 还会
__label__1 , 电脑 收到 轻薄 不错 软件 好像 下载安装
__label__2 , 用户 未填写 评价 内容
__label__2 , 鞋底 太硬 打滑 慎重
__label__2 , 客服 文字 不理 充电器 怎都 没人 搭理 实体店
__label__2 , IphoneX 不到 二个月 主板 平果 质量 太差
__label__1 , 忘记 确认 评价 季节 刚刚
__label__1 , 实体店
__label__1 , 手感 不错
__label__1 , 手机 不错 电池 性能 适合 拿来 打游戏
__label__2 , 商家 介绍 符合 耳机 地方 手机 标配 要说 反正 差评 肯定 提前 商家 包含 感觉 顾客 详细 介绍 东西 详情 顾客 提前
__label__1 , 华为 手机 广告 说照 像素 拍照 技术 照片 功能 照出来 相片 颜色 灰暗 专业 功能 稍微 好点 相片 清晰度 华为 好些
__label__1 , 收到 发货
__label__2 , 充电 小时 充电 80% 运行 无卡顿 王者 荣耀 提示 降低 画面 品质 物流 打开 包装 屏幕 后置 摄像头 指纹 退货 工人 检测 原因 这是 生日礼物 时间 好评 肯定
__label__2 , 太大
__label__2 , 垃圾 太卡
__label__2 , 两个 实在 无力 吐槽 拍照 手机 自动 重启 消失 充电 一两个 小时 显示 电量 一点 增加 电池 显示 过程 电量 下降 感觉 手机 解决 视频 手机 电流 那种 嘈杂声 手机 麦克风 声音 重启 才行 断断续续 京东 客服 努比亚 售后 客服 没用 懒得 回去 麻烦 吃一堑长一智 小众 东西 千万别 一堆 毛病 售后
__label__2 , 一星 不想 玩意 老子 两个 手机 第一个 半年 漏光 自动 打字 免费 维修 维修 过后 黑色 边框 换成 红色 边框 影响 关键 第二个 瞎了眼 第一个 质量 新手机 手机 晚点 手机 拿到 第二天 装壳 发现 新手机 屏幕 裂纹 手机 手里 时间 苹果 放在 包里 两年 没事 两天 锤子 手机 苹果 挤爆 关键 垃圾 客服 不修 检测 不想 检测 要钱 真的 瞎了眼
__label__2 , 买回来 要死 水货
__label__2 , 32G 送到 23G 不让 说法 典型 店大欺客 垃圾
__label__2 , 绝望 退货 辣狗
__label__2 , 真没想到 超级 每次 运行 听到 硬盘 滋滋 声音 开个 word 卡着 运行 qq 闪退 后悔
__label__2 , 红米 6pro 实物
__label__2 , 垃圾 手机 玩玩 王者 荣耀 999 小米 note4x 玩个 游戏 新手机 弹出 窗口
__label__1 , 第一次 网上 买鞋 选择 京东 满意 刚刚 正码 舒服 好评
__label__2 , 机好 喜欢
__label__1 , 6666666666666
__label__1 , 手机 外观 不错 漂亮 内存 很大
__label__1 , 包装 细致 宝贝 独立 包装 特别 满意
__label__2 , 建议 京东 购买 套路
__label__1 , 笔记本 不错 性价比 回购
__label__2 , 手机 二手货 退货 回去 摄像头 白点 魅族 不用 华为 手机
__label__2 , 
__label__1 , 下载 软件
__label__1 , 物流 快递 服务 手机 质量 流畅 玩游戏 够用
__label__1 , 态度 五分 想像中 真诚 卖家
__label__2 , 黑色 灰色 店铺 沟通 店铺 店里 很大 优惠 退换货 店铺 办法 消费者 提前 几天 衣服 女朋友 见面 退换货 告诉 着急 衣服 没事 气不过 店铺 犯得 消费者 承担 很大 优惠 优惠 补偿 优惠 便宜
__label__1 , 物流配送
__label__2 , 
__label__2 , 不好 电池 虚标 手机 耗电 荣耀 畅玩 6x 3400 毫安 电池 4000 毫安 电池 时间 两个 手机 相比 畅玩 6x 播放 电影 三个 小时 手机 浏览 网页 聊微信 三个 小时 电池容量 大才 耗电 运气 不好 个别人 退回 手机 新手机 6G 运行 装个 软件 一分钟 畅玩 6X 千元 买来 时装 软件 整体 体验 和畅 6x 相比 照相 好点 畅玩 6x 价钱 一千多 新手机 钢化 保护膜 麻烦 出厂 贴个 十块 八块 保护膜 发财
__label__2 , 收到 手机 跟本 用过 屏幕 保护 最差 购物 本想 评论 不好 收到 真的
__label__1 , 鞋子 质量 满意 穿上去 舒服 物超所值
__label__2 , 没想到 月份 闪存 动静 厂家 我行我素 恬不知耻 美其名曰 抽奖 以次充好 系统 双击 亮屏 功能 官方论坛 提个 建议 对华 好感度 归零
__label__2 , 差评 二手 耳机
__label__2 , 降价 差评 差评 差评
__label__2 , laji 手机 支持 360 十月 八号 手机 两个 刚刚 减低 音量 半天 音量 调低 几个 细节 影响 手机 体验 这是 360 手机
__label__2 , 电脑 运行 流畅 电脑 蓝屏 网页 玩游戏 京东 你长 点心 8000 元钱花 提心吊胆
__label__1 , 荣耀 手机 性价比 屏幕 电池 运行 速度 华为 系列 手机 质量 更好 华为 旗舰机 做工 细致 高大
__label__1 , 屏幕 好大 分辨率 玩游戏 杠杠 满意
__label__2 , 只能 打电话 信息
__label__2 , 华为 手机 第一次 购买 麦芒 整体 感觉 手感 外观 满意 电池 不给力 支持 快充 掉电 特别 降价 只好 说实话 价位 真的 没什么 可选 荣耀 PLAY 预约 购买 整体 价位 手机 配置 接受 外观 手感 麦芒 电池 麦芒 稍微 给力 一点 支持 快充 荣耀 PLAY 屏幕 麦芒 收到 荣耀 PLAY 买家 京东 封膜 耳机 贴膜 麦芒 赠送 贴膜 耳机 机身 外壳 轻微 瑕疵 瑕疵 影响 退换货 卡槽 质量 没法 形容 稍微 不慎 就会断 畅玩 5X 没法 整体 价位 搭载 麒麟 970 市场 价位 性价比 值得 购买 下手 第一批 预约 机器 痕迹 卖出 机器 退货 销售
__label__2 , cpu win7 系统 兼容 hellip hellip
__label__1 , 收货 迫不及待 搭配 休闲裤 短裤 很帅 质量 做工 一流 上档次 满意 鞋子 五星 好评
__label__1 , 好看 想要 图片 实物 穿着 舒服 发货 速度 很快 一点 耽误时间 喜欢 好评
__label__2 , 失望 手机 费电 早上 出门 包里 没玩过 晚上 到家 服气 真令人 失望
__label__2 , 手机 买来 拿回去 检测 实在 不想 麻烦
__label__2 , 两个 星期 感觉 WIFI 网速 几十 手机 几百 稳定 一跳 上网 入手 刚刚 两个 星期 网络 没法 很烦
__label__1 , 确实 舒服 夏天 裤子 真的 喜欢 汗水 舒坦
__label__1 , 合身 面料 舒服 价格
__label__2 , 垃圾 手机 收到 货后 磕碰 想要 退货 后悔
__label__2 , 音太大
__label__1 , 机箱 很小 速度 很快 稳定 办公
__label__2 , 快递 真慢 一个多 礼拜 一句 概括 差评
__label__1 , 裤子 超级 好看 一点 味道 褪色
__label__2 , 耳机 收到 耳机 耳机 耳机 不值 几个 浪费 消费者 感情
__label__2 , 
__label__1 , 完美 机型 入手 很快
__label__2 , 手机 屏有 质量 导致 屏幕 进液 售后 维修 消费者 办法 维护 权益 鉴定 0527 88120510 自称 京东 售后 客服 电话 通知 客服 核对 买主 购买 信息 问修 不修 维修费 工号 名字 保密 公司
__label__1 , 两条 发货 效率 尺码 合适 质感 对得起 价格 性价比
__label__2 , 第一次 差评 京东 下单 收到 第一 没货 收钱 不知 小米 公司 京东 无耻 客服 说怪 抢购 看清楚 0.1 售空 显示 没货 通知 发货 时间 超出 客服 沟通 地址 京东 人性化 真牛 地址 只能 退货 抢购 客服 提示 退货 选择 沟通 好几个 客服 几天 终于 客服 原先 地址 网点 手机 微信 视频 模糊 视频 预览 特别 打开 模糊 掉电 解决 徐佳 宣传 客服 宣传单 买手机 手机 宣传 大部分 提前 天才 下单
__label__1 , 很棒 购物 体验 机箱 小巧 玩游戏 静音 家里 键盘 单位 键盘 win10 设置 昨晚 老婆 研究 晚上 速度 没得说 玩游戏 杠杠
__label__1 , 宏基 电脑 年前 键盘 鼠标 特别 耐用 键盘 没舍得 宏基 电脑 性价比 不错
__label__1 , 卖家 谢谢 同事 喜欢 下次 再来
__label__2 , 电池 触摸 灵活
__label__2 , 京东 套路 太深
__label__2 , 没货 别乱标 太慢 天才 发货 音质 不太好
__label__2 , 买回来 只试 一只 感觉 发现 底厚 底薄 办法 没试 安踏 失望
__label__1 , 鞋子 不错 朋友 时尚 脚底 舒服
__label__2 , 差评
__label__1 , 一段时间 评价 不错 声音 机身 小巧 质量 一如既往
__label__1 , 保暖 内衣 不错 至少 价钱
__label__1 , 美观 大方 简单 实用 屏幕 反应速度快 唯一 美中不足 鼠标 连接 孔是 左边 右手 鼠标 右边
__label__1 , 裤腿 窄点
__label__2 , 不怎么样
__label__2 , 1G 运行 32g 内存 300 32G 到手 1G 运行 21G 内存 内存 本来 太不道 王者 地方 会卡顿 不卡 红米 千元 卖到 1800 636 845 面前 低端 cup 低端 1800 垃圾
__label__1 , 老公 鞋子 皮质 很棒 质量 不错
__label__1 , 衣服 质量
__label__2 , 说实话 购物 愉快 早先 标准 皮鞋 买回来 确小 一码 申请 换货 时间 好多天 换来 内侧 皮子 怀疑 修过 回来 有图 真相 亲们 京东 质量
__label__1 , 物流 很快 手机 外观 不错
__label__2 , 五点 拿到 情况 理想 第一次 小时 手机 发热 吃完饭 半个 小时 发热 这台 手机 不行 这台 手机 备用机 懒得 打电话 半个 小时 发热 测试 后续 情况 评价
__label__2 , 差差 事情
__label__2 , 148 刚买 收到 降价 鞋垫 残胶 客服 差价 信用 备注 发票 鞋子 不透气 闷脚
__label__1 , 屏幕 机身 感觉 送给 爸爸 评价
__label__1 , 华为 mate7 mate8 mate9 入手 mate10Pro 华为 真的 一代 一代 华为 粉儿 支持 国货 机型 修长 钻石 屏幕 黑色 高端 大气 手感 单手
__label__2 , 失望 游戏
